x	error	n	n_error	u	u_error	Events
-16.61	1.89	-159.1	1.79	25.17	6.31	1.0
-14.99	1.96	-158.86	1.79	22.46	6.2	1.0
-15.46	2.14	-160.53	2.02	22.91	7.08	1.0
-14.62	1.55	-159.06	1.49	20.1	5.13	1.0
-14.13	1.54	-160.2	1.44	16.44	4.9	1.0
-14.29	2.29	-160.17	2.12	21.85	7.67	1.0
-18.51	1.95	-160.62	1.9	17.01	6.58	1.0
-17.08	1.61	-159.49	1.59	16.68	5.43	1.0
-15.09	1.63	-161.82	1.6	12.5	5.46	1.0
-17.06	1.71	-160.67	1.71	16.26	6.02	1.0
-15.38	1.66	-159.69	1.59	16.08	5.54	1.0
-16.33	1.5	-158.82	1.44	16.58	5.05	1.0
-14.98	1.45	-158.21	1.4	15.42	4.81	1.0
-15.59	2.25	-158.78	2.12	21.52	7.57	1.0
-11.05	1.75	-158.72	1.65	24.02	5.87	1.0
-10.51	1.76	-161.7	1.7	17.15	5.94	1.0
-6.63	2.25	-163.96	2.2	15.32	7.84	1.0
-8.39	1.63	-163.59	1.56	14.89	5.48	1.0
-6.3	1.69	-163.67	1.6	19.43	5.57	1.0
-3.46	2.0	-166.05	1.96	8.76	6.86	1.0
1.3	2.05	-168.43	1.89	15.92	6.25	1.0
-0.12	2.02	-168.26	1.91	14.74	6.57	1.0
3.77	1.91	-167.15	1.78	11.59	6.06	1.0
-0.64	2.98	-164.93	2.81	18.52	9.81	1.0
-0.17	1.88	-167.07	1.76	1.75	6.06	1.0
3.95	1.56	-168.1	1.48	8.59	5.22	1.0
3.65	1.49	-167.57	1.41	10.34	4.78	1.0
3.39	1.81	-169.37	1.67	15.75	5.72	1.0
1.02	2.13	-168.22	2.08	15.72	7.15	1.0
2.34	1.9	-169.27	1.8	9.05	6.42	1.0
1.35	2.94	-170.2	2.92	14.58	10.49	1.0
0.28	1.93	-168.93	1.9	5.31	6.72	1.0
2.26	1.68	-168.4	1.59	15.38	5.54	1.0
3.14	1.7	-165.81	1.57	21.66	5.51	1.0
3.14	2.32	-166.43	2.13	14.05	7.45	1.0
0.35	3.11	-167.94	3.07	18.64	11.03	1.0
2.86	2.24	-167.59	2.15	9.89	7.65	1.0
4.65	2.18	-167.39	2.09	13.93	7.4	1.0
4.9	2.37	-167.03	2.18	18.35	7.8	1.0
3.5	2.74	-167.24	2.48	12.46	8.7	1.0
2.8	2.41	-164.53	2.32	14.48	8.16	1.0
3.18	2.36	-166.49	2.3	18.78	8.16	1.0
3.54	2.62	-167.88	2.21	18.39	7.57	1.0
5.24	3.44	-169.41	3.34	19.1	11.77	1.0
-0.05	3.04	-163.54	2.96	8.35	10.41	0.0
3.21	2.6	-168.63	2.47	9.79	8.61	0.0
2.58	1.72	-169.0	1.63	11.94	5.6	0.0
3.14	2.17	-167.5	1.98	13.0	6.96	0.0
3.34	1.68	-167.02	1.56	19.7	5.37	0.0
2.74	2.66	-169.33	2.51	15.37	8.85	0.0
2.3	2.75	-164.52	2.74	20.37	9.73	0.0
4.73	2.29	-166.79	2.3	17.12	8.2	0.0
5.12	2.16	-167.63	2.13	13.81	7.47	0.0
3.61	2.27	-166.11	2.27	13.16	8.17	0.0
3.13	2.13	-167.99	2.1	14.2	7.6	0.0
4.84	2.17	-165.84	2.1	11.1	7.51	0.0
2.53	2.29	-165.63	2.14	16.48	7.68	0.0
2.81	2.07	-167.32	1.97	16.96	7.03	0.0
2.96	2.33	-167.45	2.22	14.06	7.97	0.0
3.14	2.43	-167.21	2.26	8.29	8.04	0.0
2.48	2.43	-167.69	2.18	15.32	7.71	0.0
0.72	3.32	-166.46	3.22	27.21	11.63	0.0
4.22	2.53	-165.52	2.49	23.69	8.91	0.0
1.08	2.45	-165.34	2.43	10.97	8.71	0.0
2.56	2.36	-164.6	2.28	7.32	8.02	0.0
3.87	2.18	-164.4	2.09	10.33	7.45	0.0
3.91	2.52	-163.44	2.34	16.72	8.46	0.0
2.91	2.36	-164.1	2.32	9.89	8.19	0.0
3.32	2.07	-163.21	1.93	8.2	6.4	0.0
2.72	1.93	-165.3	1.82	13.22	5.92	0.0
1.37	1.99	-164.32	1.96	11.94	6.85	0.0
0.75	1.92	-166.49	1.66	11.3	5.68	0.0
0.78	2.52	-162.77	2.45	24.52	8.55	0.0
1.23	1.94	-166.46	1.87	16.23	6.49	0.0
-2.63	2.57	-165.91	2.7	10.94	9.37	0.0
3.05	2.14	-167.13	2.0	11.14	7.16	0.0
2.84	2.13	-164.06	1.97	14.24	7.02	0.0
2.87	1.66	-164.79	1.58	10.36	5.67	0.0
0.83	1.6	-164.82	1.54	7.75	5.35	0.0
1.23	2.18	-165.56	2.19	8.31	7.99	0.0
1.41	1.64	-164.33	1.61	9.71	5.53	0.0
-1.68	1.71	-166.6	1.71	14.37	5.87	0.0
0.81	1.71	-164.7	1.63	9.57	5.66	0.0
0.89	1.74	-164.57	1.62	13.16	5.75	0.0
1.42	2.28	-164.03	2.3	7.77	8.17	0.0
-0.95	2.34	-165.41	2.42	22.64	8.07	0.0
4.49	1.92	-163.08	1.94	22.71	6.59	0.0
1.7	2.6	-173.0	2.69	1.78	9.3	0.0
0.58	1.88	-166.27	1.81	17.38	6.38	0.0
-0.69	1.76	-163.62	1.58	17.5	5.66	0.0
0.45	1.74	-163.12	1.7	11.52	6.05	0.0
0.52	1.55	-164.93	1.42	13.92	5.0	0.0
1.84	1.53	-164.49	1.48	12.4	5.1	0.0
1.29	2.09	-162.84	2.12	14.96	7.48	0.0
-0.22	1.63	-165.65	1.64	11.64	5.67	0.0
0.29	1.74	-163.25	1.74	19.13	6.03	0.0
2.08	1.72	-163.18	1.68	18.02	5.88	0.0
-0.21	2.79	-162.79	2.85	12.48	10.32	0.0
-0.46	2.57	-163.9	2.62	12.91	9.45	0.0
-2.47	2.66	-163.99	2.8	14.81	9.99	0.0
2.06	2.37	-164.77	2.45	14.39	8.68	0.0
-3.58	1.94	-165.0	2.0	24.7	6.81	0.0
3.44	2.61	-162.52	2.66	11.55	9.32	0.0
1.42	1.87	-162.38	1.85	11.96	6.52	0.0
2.88	1.83	-162.93	1.65	11.51	5.8	0.0
2.04	1.88	-162.61	1.83	16.28	6.5	0.0
2.45	2.56	-160.19	2.57	10.91	9.2	0.0
1.64	2.52	-162.28	2.59	8.72	9.35	0.0
-0.22	1.96	-164.26	2.03	5.53	7.12	0.0
3.91	2.21	-161.06	2.27	12.11	8.04	0.0
1.34	2.03	-162.37	2.08	13.43	7.43	0.0
0.51	2.4	-162.06	2.4	10.61	8.51	0.0
-1.45	2.76	-160.94	2.78	14.25	9.39	0.0
1.9	2.94	-162.83	3.15	15.32	11.02	0.0
-0.45	2.8	-162.53	2.78	14.49	9.35	0.0
1.91	3.45	-163.42	3.59	24.01	12.62	0.0
-0.65	2.77	-160.93	2.98	24.75	10.63	0.0
3.77	2.55	-163.13	2.67	8.69	9.5	0.0
2.84	2.44	-163.35	2.61	9.98	9.1	0.0
2.94	2.44	-164.66	2.48	17.49	8.37	0.0
3.67	3.38	-163.82	3.69	23.23	12.99	0.0
3.35	2.3	-163.93	2.36	14.76	8.14	0.0
2.8	2.04	-162.51	2.13	15.12	7.53	0.0
1.88	2.24	-162.85	2.26	18.7	7.71	0.0
1.73	2.73	-163.64	2.76	18.18	9.49	0.0
-0.33	2.32	-160.85	2.47	19.55	8.43	0.0
2.69	2.28	-160.81	2.43	21.7	8.61	0.0
1.2	2.21	-160.31	2.4	18.1	8.5	0.0
0.81	2.17	-160.1	2.32	19.06	8.22	0.0
1.8	2.1	-161.47	2.2	17.35	7.53	0.0
6.45	2.13	-159.12	2.23	21.9	7.74	0.0
3.55	2.16	-159.89	2.3	11.5	7.82	0.0
1.36	2.41	-162.04	2.43	15.21	8.53	0.0
4.45	2.36	-159.63	2.36	21.41	8.14	0.0
1.37	2.5	-163.52	2.63	27.47	8.95	0.0
4.67	2.49	-160.87	2.57	21.63	9.07	0.0
2.72	2.21	-159.73	2.31	18.01	7.98	0.0
2.29	2.26	-162.98	2.28	18.98	7.85	0.0
3.02	2.42	-161.08	2.53	25.69	9.11	0.0
2.05	2.0	-161.03	2.15	16.56	7.6	0.0
0.56	2.06	-161.82	2.09	19.45	7.31	0.0
0.16	2.82	-160.68	2.8	24.68	9.5	0.0
-3.61	3.05	-160.18	3.23	22.89	11.84	0.0
-4.15	3.17	-155.74	3.3	14.33	11.91	0.0
1.0	2.84	-161.85	2.9	9.77	10.36	0.0
1.19	2.39	-159.87	2.5	15.88	8.95	0.0
2.81	1.98	-159.89	2.09	19.78	7.4	0.0
3.43	2.14	-160.14	2.14	15.63	7.71	0.0
1.64	2.62	-160.52	2.77	16.67	9.9	0.0
2.49	2.32	-160.93	2.41	21.41	8.72	0.0
1.93	2.35	-160.34	2.45	18.53	8.87	0.0
1.62	3.28	-159.5	3.38	22.5	12.3	0.0
2.2	2.78	-158.66	2.79	15.81	10.05	0.0
2.26	2.39	-158.59	2.35	14.33	8.33	0.0
