x	n	u	Events
0.79	-106.64	11.81	0.0
2.83	-106.39	5.43	0.0
0.4	-104.49	12.3	0.0
2.98	-104.85	10.61	0.0
-1.71	-105.91	10.62	0.0
-3.76	-104.94	4.92	0.0
-2.49	-105.01	6.47	0.0
2.05	-104.85	8.84	0.0
0.86	-105.92	9.06	0.0
3.74	-106.92	14.26	0.0
1.17	-105.2	9.17	0.0
0.28	-104.97	6.97	0.0
-2.75	-105.51	10.47	0.0
-4.0	-105.5	6.96	0.0
-4.17	-103.53	7.49	0.0
-2.69	-103.57	5.71	0.0
-3.18	-103.98	9.74	0.0
-2.99	-103.23	12.96	0.0
-2.19	-104.9	4.57	0.0
-2.83	-105.02	10.31	0.0
-2.29	-103.47	13.92	0.0
-2.52	-104.17	9.02	0.0
1.18	-106.2	16.77	0.0
-2.97	-103.81	6.42	0.0
-3.12	-103.72	8.71	0.0
-2.83	-102.6	9.49	0.0
-4.0	-104.48	7.61	0.0
-3.66	-103.63	9.07	0.0
-3.15	-101.36	10.56	0.0
-4.14	-102.51	10.32	0.0
-4.16	-102.72	8.39	0.0
0.13	-104.04	9.42	0.0
-2.87	-101.66	5.12	0.0
-5.58	-102.89	10.01	0.0
-3.52	-102.43	8.05	0.0
-3.37	-101.51	7.34	0.0
-3.23	-102.23	9.66	0.0
-2.99	-102.45	14.58	0.0
-2.75	-101.96	10.91	0.0
-2.79	-102.74	12.92	0.0
-2.1	-101.79	16.96	0.0
-2.24	-101.71	11.45	0.0
-3.62	-102.49	8.95	0.0
-4.73	-101.92	11.98	0.0
-3.44	-101.57	10.34	0.0
-3.39	-101.67	11.32	0.0
-4.0	-101.32	12.77	0.0
-3.71	-100.8	14.57	0.0
-4.35	-100.7	12.96	0.0
-5.42	-100.74	16.51	0.0
-4.19	-100.33	14.82	0.0
-4.27	-101.45	17.88	0.0
-4.17	-100.96	14.11	0.0
-3.69	-100.31	16.54	0.0
-3.91	-101.69	17.78	0.0
-5.08	-101.0	16.74	0.0
-4.5	-100.74	13.72	0.0
-4.38	-97.92	16.02	0.0
-6.66	-101.17	11.0	0.0
-5.56	-100.29	12.76	1.0
-6.61	-99.49	17.5	1.0
-6.45	-99.72	26.09	1.0
-6.07	-99.82	17.76	1.0
-5.53	-98.76	15.85	1.0
-6.04	-99.41	23.23	1.0
-6.22	-98.51	16.88	1.0
-6.24	-99.46	15.6	1.0
-6.42	-99.57	4.15	1.0
0.84	-97.73	3.53	1.0
1.45	-93.28	10.27	1.0
1.2	-94.42	11.86	1.0
-0.14	-94.1	14.43	1.0
1.74	-94.67	9.54	1.0
0.73	-93.86	6.97	1.0
1.19	-94.08	2.45	1.0
-0.02	-93.77	2.2	1.0
1.12	-92.25	10.93	1.0
0.86	-94.89	2.9	1.0
1.97	-94.84	6.74	1.0
1.01	-94.9	5.9	1.0
0.61	-93.51	6.1	1.0
1.63	-93.82	6.89	0.0
1.05	-93.01	14.88	0.0
1.56	-93.67	4.21	0.0
1.01	-93.92	4.89	0.0
1.62	-93.55	8.67	0.0
0.68	-95.11	6.79	0.0
2.35	-92.77	7.61	0.0
0.39	-90.84	16.32	0.0
4.1	-91.74	20.25	0.0
0.03	-92.26	2.95	0.0
1.0	-91.92	6.88	0.0
1.08	-92.99	5.67	0.0
