x	n	u	Events
-25.73	-103.48	19.77	0.0
-24.64	-105.92	24.58	0.0
-27.93	-106.04	23.12	0.0
-24.49	-104.55	25.91	0.0
-21.44	-106.65	23.26	0.0
-25.48	-103.2	22.46	0.0
-24.79	-103.8	20.24	0.0
-26.1	-103.83	17.47	0.0
-26.87	-103.4	15.9	0.0
-26.22	-104.12	17.04	0.0
-26.04	-103.99	13.07	0.0
-24.18	-104.34	27.58	0.0
-25.39	-104.03	24.25	0.0
-24.72	-104.27	22.78	0.0
-24.96	-103.83	18.49	0.0
-26.98	-104.06	24.2	0.0
-27.35	-103.46	17.2	0.0
-27.4	-102.77	20.1	0.0
-26.05	-102.48	17.27	0.0
-27.1	-102.56	23.43	0.0
-28.36	-102.08	23.59	0.0
-26.22	-103.04	19.91	0.0
-27.25	-103.17	20.89	0.0
-26.04	-103.03	22.69	0.0
-26.46	-103.62	21.58	0.0
-24.77	-101.38	25.75	0.0
-26.84	-103.49	21.24	0.0
-27.55	-102.73	15.62	0.0
-26.73	-101.87	20.32	0.0
-26.4	-102.31	18.44	0.0
-27.74	-102.94	19.93	0.0
-27.39	-101.13	15.41	0.0
-27.67	-101.21	21.24	0.0
-26.99	-102.93	20.21	0.0
-25.45	-102.43	17.86	0.0
-25.56	-101.09	12.12	0.0
-29.71	-100.99	17.97	0.0
-27.39	-101.62	17.58	0.0
-26.95	-100.92	19.35	0.0
-27.47	-100.82	18.29	0.0
-27.93	-101.59	21.72	0.0
-27.74	-100.18	25.65	0.0
-26.1	-99.97	25.13	0.0
-27.38	-99.92	26.09	0.0
-27.17	-101.03	29.04	0.0
-27.2	-99.83	24.23	0.0
-26.2	-100.32	22.98	0.0
-26.79	-100.25	22.43	0.0
-26.38	-98.61	25.27	0.0
-28.19	-99.7	22.83	0.0
-26.37	-99.58	30.24	1.0
-26.39	-100.0	23.37	1.0
-27.92	-98.45	28.38	1.0
-26.97	-99.09	29.41	1.0
-26.28	-99.18	29.38	1.0
-27.72	-98.43	26.32	1.0
-26.31	-98.18	27.37	1.0
-26.39	-99.23	21.45	1.0
-27.44	-98.08	20.35	1.0
-26.22	-98.44	18.22	1.0
-28.25	-97.31	28.55	1.0
-27.03	-96.86	26.19	1.0
-27.75	-98.26	28.22	1.0
-27.91	-97.9	30.54	1.0
-28.28	-97.8	29.22	1.0
-27.1	-96.73	27.22	1.0
-28.03	-97.53	29.41	1.0
-28.0	-97.17	33.28	1.0
-28.16	-97.69	26.75	1.0
-28.95	-97.58	30.75	1.0
-27.84	-97.09	21.46	1.0
-17.25	-96.62	13.88	1.0
-15.83	-93.84	20.01	1.0
-16.84	-94.58	19.1	1.0
-16.97	-96.0	21.96	1.0
-14.87	-95.6	21.44	1.0
-15.44	-94.8	24.19	1.0
-15.35	-94.42	7.85	1.0
-15.99	-93.33	17.6	1.0
-15.8	-93.61	17.26	1.0
-15.32	-94.32	18.89	1.0
-15.2	-94.18	17.37	1.0
-15.43	-94.67	17.19	1.0
-14.9	-94.3	17.6	1.0
-14.81	-93.8	20.21	1.0
-15.45	-92.1	27.82	1.0
-14.15	-93.41	15.38	1.0
-13.98	-93.65	16.07	1.0
-13.97	-93.25	22.66	1.0
-13.33	-94.03	19.47	1.0
-14.5	-92.81	16.86	1.0
-13.76	-92.98	16.82	1.0
-13.13	-91.13	17.57	1.0
-14.34	-92.69	13.71	1.0
-14.31	-93.06	17.45	1.0
-13.27	-92.11	14.87	1.0
-13.77	-92.25	18.06	0.0
-13.53	-93.75	17.97	0.0
-14.93	-90.75	16.41	0.0
-13.87	-93.58	10.64	0.0
-14.83	-93.92	20.22	0.0
-15.34	-91.0	11.46	0.0
-13.11	-92.08	16.36	0.0
-12.9	-88.84	17.73	0.0
