epoch;loss;val_loss
0;8044.860489567092;4709.565065506778
1;3522.5389204422413;3053.3161117828936
2;2703.467489857273;2505.6470927535356
3;2375.6734335750166;2223.320648600832
4;2137.7976372065623;2140.156145343794
5;2101.7452290506;2035.7141302863395
0;0.722570414514602;2821.595457981825;0.7257730152574013;2498.7394001277835
1;0.7047851075177362;1914.1382637001827;0.6870271136984666;1931.382611165479
2;0.7215852344555612;1785.791415083003;0.7237687397544907;1728.5535573845418
3;0.7162879202187216;1775.401088424884;0.7087256961752364;1837.0180459897115
